Channel,Video Title,Video Description,Video ID,Comment,Comment iD,Replies,Likes
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I’d rather “keep up” with her than the Kardashians.  She is fascinating in my opinion.  Would love to get more content from her family/other members in the community.,Ugwy1rAGiw5Dx99cYaV4AaABAg,32,2170
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"I noticed that, despite being a patriarchal society, she doesn't seem to have any fear for her safety. And even walking around or alone along the deserted road, they seemed very at ease and relaxed, which is more than can be said about many western or Asian societies.",Ugz0vT52qX1kQ6ur3Pt4AaABAg,12,233
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,When my kids get older they bet not everyone complain about cleaning up they damn room lbs,Ugz3ruaLNKGZIn9oLJR4AaABAg,0,12
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I wish they would've shown more of her husband and son,Ugwr05RSfGFc_vGfv2d4AaABAg,2,142
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"She is a wonderful women, very rare , she is so proud on what she is is... and above all she left everything for her love.... really amazing... may god bless her✅",UgxFAfx3FDMBZjAGnP14AaABAg,0,37
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,My precious 27 minutes of my i would not want to take back.,UgzdkHUXcFTSXvpLwmt4AaABAg,2,124
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I love what she said she's not pity with them she's pity with us and she's right.,Ugw_osYnaa1HbtnPf0B4AaABAg,0,28
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,Didn’t realize I was smiling almost the entire time. Got teary eyed when she became emotional too. Beautiful people!,Ugw5cxZxnW_KEQMMr_h4AaABAg,0,3
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I love how she put her understanding of the world aside and embraced these people and their customs and culture. Also those sanitary knits are legit and I would switch from the disposable ones I use for theirs. God bless you and God bless the Maasai people.,UgyaP8Nacu-3aMr5Xcp4AaABAg,0,2
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,This is what they say; Love is blind and don't cost a thing.,UgxmA-KAXfZua-Jru4V4AaABAg,1,30
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,it’s so cool how she makes (and teaches her sister-in-law) sanitary kits that have underwear and pads and distributes them to the other women!! props to her for her kindness!❤️,UgxRZ-9rkeyolzM1iV54AaABAg,0,4
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"she is very *understanding* and I like how she respects her husbands culture, she is certainly *fascinating*",Ugx-kODreXNgqEp1CW14AaABAg,6,284
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,I like how she make those feminine pads.  So cute,Ugx8gUv0_6wI7vwTgzF4AaABAg,0,17
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"This was randomly in my recommendations, not questioning it at all.",UgzPR8bun068f-XcZyx4AaABAg,32,1839
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,This woman is one of the happiest humans on earth... Feeling it in my soul....I'm Kenyan and I love authentic maasai tribe... Her last words are so perfect and correct.. When you get a chance to experience true humanity again.. It's addictive... I can attest to this.... Enjoy your life darling... ❤️❤️❤️❤️❤️,UgwdTvVU7sr9jqGTwb94AaABAg,1,19
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"I love how she has respect for her 
in- laws.",UgxgXh6pOMD__QlbQiZ4AaABAg,0,17
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"She seems like such a genuinely happy, humble person. It's almost infectious lol.",Ugx5qiDvV8iz8leVRNl4AaABAg,0,65
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,Very interesting. As someone who’s married to a foreigner there are a lot of things we learn to “live without” but there’s also nothing wrong with having those things.,UgxNromAhM5H5xXQTml4AaABAg,0,33
Globstory,✈️ &quot;Poślubiłam Masaja i zamieszkałam w jego wiosce&quot;,Współautorami naszych filmów jesteście Wy! https://patronite.pl/globstory ➤ Chodź na FB: https://www.facebook.com/globstory/ ➤ Chodź na Instagrama: ...,FGwDfgyM-NI,"As a woman - I have much respect for this Lady! Life is NOT about things BUT it's relationships with HUMANS! Much blessings to her and all in her community, her people!",UgzdDYWjurLH8yMkZKx4AaABAg,2,124
