VideoID,Title,VideoDescription,PublishedDate,Likes,Disliked,Views,Comment
t-Edab4s6_U,OFFTOPIC: Co robię poza Globstory? 🎶,"Bardzo długi opis, ciekawe czy ktoś przeczyta ;)


🎵 Paweł Szutta & Kaja Kraska - Footprints
Wykonanie: Paweł Szutta
Muzyka, tekst i aranżacja: Kaja Kraska
Miks: Paweł Szutta
Master: Tomasz Bidiuk

Posłuchaj u Pawła: https://www.youtube.com/watch?v=LtWfYxPbr-Y&feature=youtu.be

Posłuchaj na Spotify: https://open.spotify.com/episode/5qVmTSXoqWqhrERweTn7RM?si=9BH7tfxpSoGzmN1LUf69iA

Kanał Pawła: https://www.youtube.com/channel/UCOUeR1kkbm-FZM_dyx-jpJw

__________________


🎵🎵 Kaja Kraska - Footprints (Remix by siedem9)
Autor remixu: Michał Mizerski (siedem9) https://www.instagram.com/michalmmizerski/
Miks i master: Łukasz Spychała - LukSpy


Posłuchaj na Spotify: https://open.spotify.com/episode/4KTvc4BrFFGYylfq5V7uLi?si=MGVG4OIwTyWZ8-TZ7oceFw

__________________


Słowa:

I’ve been to so many places
Ive seen so many people
And I’ve been fooling around
Ive been to many homes
And I’ve drank so many teas and  
I’ve  been goodbyed
I have seen so many roads
And none of them make a way 
Every move makes it harder for me to want to stay

Not all who wander are lost
Some believe in their home and some believe in their stories
We’ll fade away anyway    
Some collect their bruises
Some’re still counting their glories 
All that you’ll say will be ok            
She said and turned around
Her footprints are still  on the ground  

Your face in every lake
Reflects in different colours 
Trees never sing evenly
We follow with our eyes 
The routes of butterflies 
And we’re astray
I have seen so many paths
And none of them make a way
Every move makes me wonder if I should have stayed


__________________


❤ Współautorami naszych filmów jesteście Wy!
https://patronite.pl/globstory 
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory 
➤ Centrum dowodzenia: http://globstory.pl/



__________________

Pani z początku filmu:
https://youtu.be/JHXD7ntVaGY


Do stworzenia klipu użyte zostały darmowe wizualizacje i ujęcia udostępnionych i opisanych w ten sposób przez twórców. Pełna lista CREDITS to:

freestockfootagearchive.com
https://www.youtube.com/watch?v=EonixirGcEo&t=194s
https://www.youtube.com/watch?v=BzuTtAcLJj4
https://www.youtube.com/watch?v=2sr12jmoZv0&t=9s
https://www.youtube.com/watch?v=Cos9f3pklb4
https://www.youtube.com/watch?v=ENfUKiSJt7Y
https://www.youtube.com/watch?v=kjJx9NTsO-M
https://www.youtube.com/watch?v=z0gyIR6WrSw
Free Stock-Footage and Motion Graphics by  VidTii Free Stock Footage https://www.youtube.com/c/vidtii
https://www.pexels.com/pl-pl/
https://www.youtube.com/watch?v=HwRqPIN94Js
https://www.youtube.com/watch?v=HPFf24nwnw0
https://www.youtube.com/watch?v=GhEOIvJfJfg
CyberWebFX for the Motion Graphic Footage@ https://www.youtube.com/c/CyberWebFX
https://www.youtube.com/watch?v=9VxjPi3an8w
https://www.youtube.com/watch?v=aheQUWS3ZsE
https://www.youtube.com/watch?v=3QFmd6HSYDQ
http://www.FindingFootage.com
https://www.videvo.net/video/lines-and-circles-vj-visuals/4798/
https://www.videvo.net/video/chemical-reaction/4799/
https://www.videvo.net/video/abstract-colored-lines/4591/
https://www.videvo.net/video/blurry-crowds-by-a-mural/455448/
https://www.videvo.net/video/command-and-service-module-orbiting-the-moon-2/16/
https://www.videvo.net/video/alpaca-on-green-screen/3442/
https://www.videvo.net/video/dolphins-swimming-in-open-ocean/456023/
https://www.videvo.net/video/car-speedometer/4194/
https://www.videvo.net/video/xray-8-pack-jolts-&-blurs/2343/
https://www.videvo.net/video/universe-in-a-jar/7608/
https://www.videvo.net/video/spotted-deer/2168/
https://www.videvo.net/video/vhs-errors---nicholas-lever/1804/
https://www.videvo.net/video/looking-up-at-hong-kong-tower-blocks/452767/
https://www.videvo.net/video/sailing-boat/4317/
https://www.videvo.net/video/stag-silhouette/2873/
https://www.videvo.net/video/green-abstract-lens-flare-/463797/
https://www.videvo.net/video/car-journey-time-lapse-at-night-cc-by-natureclip/2100/
https://www.videvo.net/video/star-spirals-over-lake-tekapo/2985/",2020-04-29T09:48:03Z,5821,120,89345,789
uDeF1k9mdGw,Jak PRZETRWAĆ W IZOLACJI? - Porady prosto z Antarktydy,"❤ Współautorami naszych filmów jesteście Wy!
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
https://patronite.pl/globstory

➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory
➤ Centrum dowodzenia: http://globstory.pl/

___________

🎧 Gość odcinka: Tomasz Kurczaba
Obserwujcie Tomka na Insta: https://www.instagram.com/tomaszkurczaba/

#Antarktyda #Antarktyka #izolacja",2020-04-03T12:49:56Z,3636,91,96218,358
w90aVRzrdWE,"POLACY w świecie pandemii: AFGANISTAN, SUDAN POŁUDNIOWY, UGANDA","❤ Współautorami naszych filmów jesteście Wy!
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
https://patronite.pl/globstory

➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory
➤ Centrum dowodzenia: http://globstory.pl/

___________

🎧 Goście odcinka:
#UGANDA - Anna Trzcińska
#AFGANISTAN - Paweł Pieniążek 
https://www.instagram.com/p_pieniazek/
#SUDAN POŁUDNIOWY - Paulina Prasuła",2020-03-30T19:59:22Z,2442,82,52117,237
WpigEEldauE,POLACY dookoła świata (kontra PANDEMIA),"❤ Współautorami naszych filmów jesteście Wy!
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
https://patronite.pl/globstory

➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory
➤ Centrum dowodzenia: http://globstory.pl/

___________

Goście odcinka:
GRUZJA 👋 Martyna Kaczmarzyk - Instagram: @martyna_z_Gruzji
TURCJA Agata Bromberek - @Tur-tur Blog: Polka w Turcji 
AUSTRALIA 👋 Dorota Kacperek - Instagram @otadorka 
AUSTRALIA 👋 Michał Miziarski - @miziarski 
https://www.youtube.com/channel/UC-d1QJbWt9vAWA2aDIPqTpw
HISZPANIA 👋 Bartłomiej Sembol Instagram @praktycznypodroznik
http://praktycznypodroznik.pl 
FILIPINY 👋 Bartek Czukiewski -@BezPlanu 
https://www.youtube.com/channel/UCNu7GSRF7Y10OIWHQHpAx1g
TADŻYKISTAN 👋 Andrzej Chlebowski
GWATEMALA 👋 Iza, Piotr, Snupi -@Podróże z Pazurem /  - Instagram @podroze_z_pazurem

___________

Muzyka z filmu:
🎵 Epidemic Sounds",2020-03-25T21:45:56Z,4773,129,132428,411
o3j6wnKTPe8,Wszystko się POSYPAŁO,"❤ Współautorami naszych filmów jesteście Wy!
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
https://patronite.pl/globstory

➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory
➤ Centrum dowodzenia: http://globstory.pl/

___________

Muzyka z filmu:
🎵 Epidemic Sounds


Sprzęt:
* Olympus’ OM-D E-M1 Mark III
* M.Zuiko Digital ED 7‑14mm F2.8 PRO
* M.Zuiko Digital ED 12‑40mm F2.8 PRO",2020-03-22T15:43:39Z,11949,430,243737,1354
OPIPp--4zAE,THE GAME. Migranci na szlaku bałkańskim. [cały film],"Kanał istnieje dzięki Wam: https://patronite.pl/globstory
Chodź na FB: https://www.facebook.com/globstory/
Chodź na Instagrama: @globstory
Centrum dowodzenia: http://globstory.pl/

____________________________

Film powstał podczas wyjazdu prasowego, na którym byliśmy w Bośni, w grudniu 2019r. organizowanego przez Minority Rights Group dla dziennikarzy z Europy Środkowej. Byliśmy jedynymi Youtuberami, których zgłoszenie zostało zaakceptowane, za co bardzo dziękujemy. Pewnie nigdy nie mielibyśmy możliwości spotkać się z politykami, czy wejść do obozów dla uchodźców, a już na pewno nie spacerować sobie po nim, bez asysty, przez kilka godzin ;) Szczegóły tego wyjazdu znajdziecie w wyróżnionych relacjach na naszym Instagramie (""Migranci""). 
#MediaMinoritiesMigration


Dziękujemy Markowi Kowalczykowi za udostępnienie zdjęć swojego autorstwa.
Dziękujemy Widzom, którzy wspierali nas podczas powstawania tych materiałów.
Dziękujemy Migrantom za otwartość i podzielenie się swoimi historiami.",2020-02-03T00:29:41Z,10317,790,153704,1799
ENZDIIPSG9Y,"THE GAME. O migrantach, w drodze do Europy. [zwiastun]","❤ Rób z nami Globstory: https://patronite.pl/globstory
➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory
➤ Centrum dowodzenia: http://globstory.pl/


W grudniu 2019 byliśmy w Bośni, by poznać sytuację migrantów na szlaku bałkańskim. Szacuje się, że w tym kraju jest w tej chwili 6000-8000 ludzi ""w drodze"" do Europy. Część czasowo przebywa w obozach dla uchodźców, część zajmuje np. opuszczone budynki, inni są już w drodze przez górską granicę z Chorwacją.
Mieliśmy możliwość porozmawiania ze wszystkimi stronami tej sytuacji: lokalnymi politykami, przedstawicielami Unii Europejskiej, pracownikami humanitarnymi i wreszcie, co najważniejsze - z samymi migrantami.
Opowiemy Wam tę historię.
Montaż tego filmu jest czymś zupełnie innym niż zwykle więc... zajmie nam pewnie kilka tygodni. Prosimy o cierpliwość :D
Kaja i Mateusz.

W zwiastunie wypowiada się pan Haki Abazi, Chief of Party, UN.

___________

Dziękujemy organizacji Minority Rights Group, i Ani Alboth, za umożliwienie nam nagranie tych materiałów. I za zaufanie...

Dziękujemy Markowi Kowalczykowi za podzielenie się kadrami :)

___________




Sprzęt:
* Lumix GH5
* Leica 8-18 mm 2,8f - 4f
* Leica 100-400 mm 4f - 6,3f
* Leica 42,5 mm 1,2f
* DJI Mavic PRO",2019-12-30T16:01:33Z,1869,380,41854,567
20dLhbtyAI0,Muzyka z vlogów VOL. 2,"WAŻNE!


Dostajemy masę zapytań o muzykę z vlogów. Niektórych nie możecie znaleźć, Shazzam wysiada, albo np. w ogóle nie ma jej  w sieci… Bardzo chcielibyśmy Wam ją udostępnić, bo do vlogów zwykle ją przycinam mocno, miksuję, więc ciężko tego słuchać odpalając nasze filmy..

Jest jednak 1 problem.
Muza, z której korzystamy pochodzi z banku muzyki dla filmowców.
Oznacza to, że nie mamy licencji na rozpowszechnianie audio więc udostępnienie playlisty, albo mp3 to konflikt z prawem.

Aaaaaaaaale możemy ją wykorzystywać do filmów :-D

Pomyśleliśmy więc, że wrzucimy muzę do „filmu”, który może sobie po prostu grać w tle do pracy/zmywania/whatever. Opcjonalnie wrzuciłam losowe ujęcia z naszego drona - potraktujcie je jako ewentualną opcję rzutnikową. Taki screensaver, żeby po prostu nie było czarno. Ujęcia z drona = wygaszacz a la kominek. 

To już drugie tego typu video.
Pierwsze - opublikowałam rok temu, jeśli szukacie kawałka ze starszych filmów,  i link do niego jest tutaj: https://youtu.be/5qhW-ve80cY



🎵 PLAYLISTA:

00:12 Useful Information - National - Co słychać w Rumunii?
02:34 Comes Around - OTE, Divty - Trochę dziwnie, trochę strasznie w tej Rumunii
05:40 Waking up the Street - MNDLSS, Folayan - Pogapmy się na ludzi - Gambia
8:30 All of me - Duplex Heart, Kitty Lingmerth - Ja kontra Gambia I cukierki
12:41 Still here fighting - Sture Zetterberg - Jak wygląda życie w Gambii
16:08 Waking up to another day - Sebastian Forslund - Jak wygląda życie w Gambii
19:10 Running out of air - Cody Decker, Matin Hall - Rzucić wszystko i polecieć na Marsa
21:04 Hard - Akerman - Rzucić wszystko i polecieć na Marsa
25:52 Songs of tomorrow - Volcan Peaks Beduini 2.0 I prawdziwy Jack Sparrow
29:06 Wait fot he night - Nickolas Jones - Życie w dżungli i wśród wulkanów
32:09 Just a spark - Conditional - to nie jest miejsce dla Gringo
36:26 Are you happy - Ash Sculptures - Jak wygląda zwyczajne życie w dżungli amazońskiej
38:49 Backwards - Staffan Carlen - Jak zamieszkać w dżungli i imprezować w Andach
42:19 No need to beg your pardon - Velvet Moon - Jak wygląda zwyczajne życie w dżungli amazońskiej
46:12 Old lullaby - Francis Wells - Jak zamieszkać w dżungli i imprezować w Andach
48:41 Shadow Falls - The Furthermores - Co najgorszego może się stać
52:45 I follow your heartbeat - Tellow - Co najgorszego może się stać
55:43 Takin’ Deep Breaths - Mr Kend & Ruby Red - Co najgorszego może się stać",2019-12-03T12:03:52Z,1435,39,49615,113
gkkerH4XVbE,✈ Jak wygląda życie w wielomilionowej METROPOLII?,"Film powstał we współpracy z marką LG, a telefon, który testowaliśmy - LG G8X Thinq - znajdziecie tutaj
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
http://bit.ly/LG_G8X

➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory
➤ Centrum dowodzenia: http://globstory.pl/


___________

Mówisz w jakimś języku obcym? :-) Będzie nam bardzo miło jeśli zechcesz dodać napisy do tego filmu.
Tutaj możesz to zrobić: https://www.youtube.com/timedtext_cs_...
___________


Sprzęt:
* Lumix GH5
* Leica 8-18 mm 2,8f - 4f
* Leica 100-400 mm 4f - 6,3f
* Leica 42,5 mm 1,2f
* DJI Mavic PRO",2019-11-29T10:10:05Z,7394,144,133024,612
YZLPn5Twz70,✈ Co najgorszego może się stać?!,"❤ Współautorami serii z Ekwadoru jesteście Wy - Widzowie, Patroni,  Mecenasi, którzy wspierają nasze produkcje w serwisie Patronite. O co chodzi - możesz zobaczyć tutaj :)
↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓↓
https://patronite.pl/globstory

➤ Chodź na FB: https://www.facebook.com/globstory/
➤ Chodź na Instagrama: @globstory
➤ Centrum dowodzenia: http://globstory.pl/

___________

Williama i jego plantację kawy znajdziecie tu: https://www.facebook.com/cafefincalacascada/

___________

Mówisz w jakimś języku obcym? :-) Będzie nam bardzo miło jeśli zechcesz dodać napisy do tego filmu.
Tutaj możesz to zrobić: http://www.youtube.com/timedtext_cs_panel?c=UC4ADK57DRGhb6aVOF0Y7GLg&tab=2
___________

Muzyka z filmu:
🎵 Muy Loca - Beiba
🎵 Always Always - Akerman
🎵 Shadow falls - The Furthermores
🎵 I follow your heartbeat - Tellow
🎵 Takin' deep breath - Mr Kent & Ruby Red



Sprzęt:
* Lumix GH5
* Leica 8-18 mm 2,8f - 4f
* Leica 100-400 mm 4f - 6,3f
* Leica 42,5 mm 1,2f
* DJI Mavic PRO

#Ekwador",2019-11-06T13:25:16Z,8654,104,180976,719
